alloy,crystal,do_relaxation
AlCoCrFeNiTi,FCC,FALSE
Al0.5CoCrCuFeNiV2.0,FCC,FALSE
Al0.5HfNbTaTiZr,FCC,FALSE
AlNbTaTiV,FCC,FALSE
Al0.5CoCrCuFeNiV1.8,FCC,FALSE
Hf0.5Nb0.5Ta0.5Ti1.5Zr,FCC,FALSE
NbTiV0.3Mo0.1,FCC,FALSE
CoCrFeNi,BCC,FALSE
CoCrNi,BCC,FALSE
CoCrCuFeNiTi0.5,BCC,FALSE
Co1.5CrFeNi1.5Ti0.5,BCC,FALSE
CoCrCuFe,BCC,FALSE
MoNbTiV1.5Zr,BCC,FALSE
Al0.875CoCrFeNi,BCC,FALSE
CoCuFeMnNiSn0.03,BCC,FALSE
AlMo0.5NbTa0.5TiZr,BCC,FALSE
Al0.25NbTaTiV,BCC,FALSE
Al0.2Co1.5CrFeNi1.5Ti0.5,BCC,FALSE
Al0.5CoCrCuFeNiV1.6,BCC,FALSE
MoNbTaV,BCC,FALSE
HfNbTiZr,BCC,FALSE
Al0.3HfNbTaTiZr,BCC,FALSE
AlCoCrCuNiTi,BCC,FALSE
CoCuFeNiSn0.02,BCC,FALSE
Al0.5CoCrCuFeNiTi0.4,BCC,FALSE
NbTiV0.3Mo1.5,BCC,FALSE
AlCrFeNiMo0.5,BCC,FALSE
CoCrCuFeNi,BCC,FALSE
Al0.5CoCrCuFeNiTi0.2,BCC,FALSE
Al0.25CoCrCu0.5FeNiTi0.5,BCC,FALSE
Al0.8CoCrCuFeNi,BCC,FALSE
Mo1.3NbTiVZr,BCC,FALSE
HfMoTaTiZr,BCC,FALSE
Al0.10CoCrFeMnNi,BCC,FALSE
AlCoCrFeNiSi,BCC,FALSE
Al0.5CoCrCuFeNiV1.4,BCC,FALSE
AlCoCrFeNiSi0.2,BCC,FALSE
MoNbTiV0.50Zr,BCC,FALSE
AlCuNiTi,BCC,FALSE
Al2CoCrFeNi,BCC,FALSE
AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,FALSE
MoNbTiV0.75Zr,BCC,FALSE
NbTaVW,BCC,FALSE
AlNbTiV,BCC,FALSE
AlCoFeNiTiVZr,BCC,FALSE
CoCrFeNiTi,BCC,FALSE
Al2.8CoCrCuFe,BCC,FALSE
AlCoFeNi,BCC,FALSE
Al0.5CrFe1.5MnNi0.5,BCC,FALSE
Al0.5CoCrCuFeNi,BCC,FALSE
AlCrFeNi,BCC,FALSE
CoFeNiV,BCC,FALSE
CoCuFeMnNi,BCC,FALSE
NbTiV0.3Mo1.3,BCC,FALSE
CrCuFeMoNi,BCC,FALSE
CoCrFeMnNiV0.25,BCC,FALSE
HfMo0.25NbTaTiZr,BCC,FALSE
CoCrFeMnNiV0.5,BCC,FALSE
NbTiV0.3Mo0.5,BCC,FALSE
NbTiV0.3Zr,BCC,FALSE
MoNbTiV0.25Zr,BCC,FALSE
CoCrCu0.5FeNi,BCC,FALSE
FeMnNi,BCC,FALSE
Al0.25CoCrFeNi,BCC,FALSE
HfMoNbTaTiZr,BCC,FALSE
Al3CoCrCuFeNi,BCC,FALSE
CoCrCuFeNiTi,BCC,FALSE
HfNbTaTiZr,BCC,FALSE
MoNbTaW,BCC,FALSE
Al22.5Cu20Fe15Ni20Ti22.5,BCC,FALSE
MoNbTiZr,BCC,FALSE
Al3.0CoCrCuFe,BCC,FALSE
Al1.25CoCrFeMnNi,BCC,FALSE
Al0.75HfNbTaTiZr,BCC,FALSE
Al0.25CoFeNi,BCC,FALSE
MoNbTiV1.0Zr,BCC,FALSE
AlCrFeNiMo0.2,BCC,FALSE
Mo0.5NbTiVZr,BCC,FALSE
CoMnNi,BCC,FALSE
NbTiV0.3Mo,BCC,FALSE
HfMo0.75NbTaTiZr,BCC,FALSE
Al0.5CoCrCuFeNiV0.2,BCC,FALSE
Al0.4Hf0.6NbTaTiZr,BCC,FALSE
Al0.6CrCuFeNi2,BCC,FALSE
Al2CoCrFeNiTi,BCC,FALSE
CoFeNi,BCC,FALSE
AlCoCrFeNi,BCC,FALSE
Al0.2CrCuFeNi2,BCC,FALSE
NbTiVZr,BCC,FALSE
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,FALSE
Al1.5CoCrFeNiTi,BCC,FALSE
AlMoNbTiV,BCC,FALSE
Al0.5NbTa0.8Ti1.5V0.2Zr,BCC,FALSE
Al1.125CuFe0.75NiTi1.125,BCC,FALSE
CoFeNiSi0.25,BCC,FALSE
Mo1.5NbTiVZr,BCC,FALSE
Al0.3NbTaTi1.4Zr1.3,BCC,FALSE
AlCr0.5NbTiV,BCC,FALSE
Al3CoCrFeNi,BCC,FALSE
NbTiV2Zr,BCC,FALSE
Al0.20CoCrFeMnNi,BCC,FALSE
AlCoCrFeNiTi0.5,BCC,FALSE
Al0.38CoCrFeMnNi,BCC,FALSE
Al2.8CoCrCuFeNi,BCC,FALSE
NbTiV0.3Mo0.3,BCC,FALSE
Al1.5CoCrFeNi,BCC,FALSE
AlCoCrFeNiSi0.6,BCC,FALSE
Al0.5MoNbTiV,BCC,FALSE
AlCuFeNiTi,BCC,FALSE
Al1.25CoCrFeNi,BCC,FALSE
Al0.5CoCrCuFeNiV1.2,BCC,FALSE
HfMo0.5NbTaTiZr,BCC,FALSE
Mo0.7NbTiVZr,BCC,FALSE
MoNbTiV2.0Zr,BCC,FALSE
MoNbTiV,BCC,FALSE
Mo2NbTiVZr,BCC,FALSE
Mo0.3NbTiVZr,BCC,FALSE
Al0.75MoNbTiV,BCC,FALSE
Al0.5CoCrCuFe,BCC,FALSE
Al0.375CoCrFeNi,BCC,FALSE
NbTiV0.3Mo0.7,BCC,FALSE
CoCuFeNi,BCC,FALSE
HfMoNbZrTi,BCC,FALSE
Al0.3CoCrCuFe,BCC,FALSE
MoNbTiVZr,BCC,FALSE
CoCrFeMnNi,BCC,FALSE
AlCoCrFeNiSi0.4,BCC,FALSE
Al0.5NbTaTiV,BCC,FALSE
MoNbTiV3.0Zr,BCC,FALSE
Al0.4CrCuFeNi2,BCC,FALSE
Al0.8CrCuFeNi2,BCC,FALSE
